repo,num_go_files_scanned,num_config_files_scanned,implements_total,interfaces_total,has_any_listener_field,has_any_resource_spec,import_hits,uses_run_or_init_hits,deploy_hints,todos_found
rgrandl/weaver-app,3,2,2,1,True,False,3,1,"multi,kube,single",True
mikepigott/service-weaver-workshops,11,0,5,2,False,False,9,3,single,True
mwhittaker/cloudrun,2,1,1,0,True,False,2,1,multi,False
devfullcycle/service-weaver-demo,5,1,2,2,False,False,5,1,,True
mwhittaker/templates,2,1,1,0,True,False,2,1,"multi,single",False
ca-x/cfdog,9,3,2,1,True,False,4,1,"multi,kube,gke,single",True
meirongdev/service_weaver_demo,2,1,2,1,True,False,2,1,multi,False
alextanhongpin/go-serviceweaver,3,1,1,1,False,False,3,1,,True
feefs/laboratory,35,3,2,1,True,False,3,1,"multi,single",True
asynched/service-weaver-demo,2,1,2,1,True,False,2,1,,True
vikaskumar1187/publisher_saasv2,44,11,1,5,True,False,2,1,"multi,kube,single",True
unknowntpo/playground-2022,137,541,1,28,False,False,3,1,"multi,ssh,kube,single",True
jun3372/weaver,33,5,15,6,True,False,2,3,single,True
